sample	cell_line	genotype	growth	project	pmid
SRR064969	TNGA	XX	2i	PRJNA130405	22541430
SRR064970	TNGA	XX	serum	PRJNA130405	22541430
SRR064971	E14	XY	serum	PRJNA130405	22541430
SRR064972	E14	XY	2i	PRJNA130405	22541430
SRR064973	NOD	XY	2i	PRJNA130405	22541430
SRR064974	NOD	XX	2i	PRJNA130405	22541430
SRR314980	XT67E1	XX	serum	PRJNA130405	22541430
SRR314981	RGD2	XY	serum	PRJNA130405	22541430
SRR392299	Rex:GFP	XY	serum	PRJNA130405	22541430
SRR392300	Rex:GFP	XY	serum	PRJNA130405	22541430
SRR392301	TNGA	XX	2i	PRJNA130405	22541430
SRR392302	TNGA	XX	serum	PRJNA130405	22541430
SRR392303	E14	XY	serum	PRJNA130405	22541430
SRR392304	E14	XY	2i	PRJNA130405	22541430
SRX2375307	Primary	XX	serum	PRJNA354946	28818098
SRX2375308	Primary	XX	serum	PRJNA354946	28818098
SRX2375309	Primary	XX	serum	PRJNA354946	28818098
SRX2375310	Primary	XY	serum	PRJNA354946	28818098
SRX2375311	Primary	XY	serum	PRJNA354946	28818098
SRX2375312	Primary	XY	serum	PRJNA354946	28818098
SRX2375313	Primary	XO	serum	PRJNA354946	28818098
SRX2375314	Primary	XO	serum	PRJNA354946	28818098
SRX2375315	Primary	XX	serum	PRJNA354946	28818098
SRX2375316	Primary	XX	serum	PRJNA354946	28818098
SRX2375317	Primary	XX	serum	PRJNA354946	28818098
SRX2375318	Primary	XY	serum	PRJNA354946	28818098
SRX2375319	Primary	XY	serum	PRJNA354946	28818098
SRX2375320	Primary	XY	serum	PRJNA354946	28818098
